"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-05","Manitoba","2016A000246","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057753","8.18.1.1","29.7","","","","1"
"2024-05","Manitoba","2016A000246","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057754","8.19.1.1","44.7","","","","1"
"2024-05","Saskatchewan","2016A000247","Total employed, all industries","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057755","9.1.1.1","603.6","","","","1"
"2024-05","Saskatchewan","2016A000247","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057757","9.3.1.1","24.7","","","","1"
"2024-05","Saskatchewan","2016A000247","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057758","9.4.1.1","23.1","","","","1"
"2024-05","Saskatchewan","2016A000247","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057759","9.5.1.1","5.8","","","","1"
"2024-05","Saskatchewan","2016A000247","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057760","9.6.1.1","42.7","","","","1"
"2024-05","Saskatchewan","2016A000247","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057761","9.7.1.1","32.8","","","","1"
"2024-05","Saskatchewan","2016A000247","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057763","9.9.1.1","100.7","","","","1"
"2024-05","Saskatchewan","2016A000247","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057764","9.10.1.1","28.2","","","","1"
"2024-05","Saskatchewan","2016A000247","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057765","9.11.1.1","29.3","","","","1"
"2024-05","Saskatchewan","2016A000247","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057766","9.12.1.1","38.4","","","","1"
"2024-05","Saskatchewan","2016A000247","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057767","9.13.1.1","14.5","","","","1"
"2024-05","Saskatchewan","2016A000247","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057768","9.14.1.1","52.6","","","","1"
"2024-05","Saskatchewan","2016A000247","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057769","9.15.1.1","90.7","","","","1"
"2024-05","Saskatchewan","2016A000247","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057770","9.16.1.1","23.1","","","","1"
"2024-05","Saskatchewan","2016A000247","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057771","9.17.1.1","33.7","","","","1"
