"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2584526","1.8.3.3.6","14.5","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2584526","1.8.3.3.6","9.5","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2584526","1.8.3.3.6","10.3","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2584616","1.8.3.3.7","5.6","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2584616","1.8.3.3.7","12.0","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2584616","1.8.3.3.7","9.6","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2584616","1.8.3.3.7","8.3","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2584616","1.8.3.3.7","6.4","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2584706","1.8.3.3.8","6.0","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2584706","1.8.3.3.8","12.5","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2584706","1.8.3.3.8","11.1","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2584706","1.8.3.3.8","8.6","","","","1"
"2023","Canada","2016A000011124","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2584706","1.8.3.3.8","7.5","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Some high school","Females","65 years and over","Percentage","242","units","0","v2584796","1.8.3.3.9","","x","","","1"
